display_name,country,role,base_price,batting_runs,batting_avg,batting_strike_rate,bowling_wickets,bowling_avg,bowling_strike_rate,bowling_economy,career_highlight
R. Sharma,India,Batter,20000000,11500,30.50,140.80,0,0.00,0.00,0.00,5-time IPL Winning Captain and explosive opening batter.
V. Kohli,India,Batter,20000000,12800,41.20,138.50,0,0.00,0.00,0.00,All-time highest run-getter in tournament history.
J. Bumrah,India,Bowler,20000000,150,10.20,95.00,165,21.10,18.20,6.65,Consistently ranks as the world's premier death-overs specialist.
H. Pandya,India,All-Rounder,20000000,2600,27.80,145.20,64,31.40,22.10,8.15,Impact all-rounder with elite finishing capability and mid-overs pace.
S. Yadav,India,Batter,20000000,3800,35.40,152.10,0,0.00,0.00,0.00,World-renowned 360-degree stroke player with exceptional scoring range.
H. Klaasen,South Africa,Wicketkeeper,20000000,4100,32.10,166.40,0,0.00,0.00,0.00,One of the most destructive spin-hitters in global T20 cricket.
P. Cummins,Australia,Bowler,20000000,450,15.10,135.00,72,29.80,21.40,8.20,World Cup-winning tactical captain and premier new-ball bowler.
T. Head,Australia,Batter,20000000,3200,29.10,158.60,8,34.00,24.00,8.40,Ultra-aggressive left-handed opener known for lightning powerplay starts.
R. Pant,India,Wicketkeeper,20000000,3500,34.50,148.90,0,0.00,0.00,0.00,Dynamic dynamic keeper-batter and proven match-winner under high pressure.
N. Pooran,West Indies,Batter,20000000,4300,31.20,155.30,0,0.00,0.00,0.00,Elite middle-overs power hitter with an outstanding boundary-to-ball ratio.
